Horizon,MAE_level,RMSE_level,R2_level,MAE_delta,RMSE_delta,R2_delta,Target
1,4737.645498133457,9594.585582847798,0.9972554670786039,4737.645498133468,9594.585582847807,-0.005701315925381811,delta
2,7635.0622179406355,13590.054331520076,0.9944937187761517,7635.062217940632,13590.05433152007,-0.020466980256692135,delta
3,10252.000393791883,16876.42597398662,0.9915128763969345,10252.000393791872,16876.42597398662,-0.10399565256355525,delta
4,12004.468380772934,19600.458442134746,0.9885519365381483,12004.468380772949,19600.458442134757,-0.13521718458802057,delta
5,13877.745190361742,22123.213695773597,0.9854153504425294,13877.74519036174,22123.213695773597,-0.1689967390355267,delta
6,15119.153858958025,24162.69368976799,0.9826023629502826,15119.153858958021,24162.69368976799,-0.14282894057183015,delta
7,17728.249590523057,27775.15763195984,0.9770113941432487,0.015456536462331518,0.024279703392421303,-0.1440927409507653,log
